"Code de la circonscription AFE";"Libellé la circonscription AFE";"Code de la circonscription consulaire";"Libellé de la circonscription consulaire";"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Lieu de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat";"Libellé de la fonction";"Date de début de la fonction"
3;"Amérique latine et Caraïbes";313;"Panama, Cuba, Jamaïque";"LOMBARDO";"Florent Marc";"M";1986-03-07;"LYON 8E ARRONDISSEMENT";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-23
3;"Amérique latine et Caraïbes";314;"Paraguay";"SUCHET";"Edmond";"M";1948-07-09;"PARIS 12E ARRONDISSEMENT";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
3;"Amérique latine et Caraïbes";315;"Pérou";"BERTHIER";"Pierre";"M";1959-07-18;"GABON";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
3;"Amérique latine et Caraïbes";315;"Pérou";"SICET";"Vincent";"M";1990-11-16;"Bordeaux";22;"Commerçant et assimilé";2021-05-31;;
3;"Amérique latine et Caraïbes";315;"Pérou";"WEBER";"Didier";"M";1972-01-29;"Montbéliard";46;"Profession intermédiaire administrative et commerciale des entreprises";2021-05-31;"Président du conseil consulaire";2023-03-17
3;"Amérique latine et Caraïbes";316;"République Dominicaine";"ASSEMAT";"Françoise";"F";1968-03-14;"Mazamet";46;"Profession intermédiaire administrative et commerciale des entreprises";2023-08-01;;
3;"Amérique latine et Caraïbes";316;"République Dominicaine";"BREHM";"Nicolas";"M";1970-10-24;"PARIS 12E ARRONDISSEMENT";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;"Président du conseil consulaire";2021-06-21
3;"Amérique latine et Caraïbes";316;"République Dominicaine";"JACOB";"Emmanuelle";"F";1966-09-22;"Bergerac";22;"Commerçant et assimilé";2021-05-31;;
3;"Amérique latine et Caraïbes";317;"Uruguay";"BIURRUN";"Martin";"M";1991-10-28;"URUGUAY";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-24
3;"Amérique latine et Caraïbes";317;"Uruguay";"DELABRE";"Jacques";"M";1955-06-23;"CROISILLES";75;"Ancienne profession intermédiaire";2021-05-31;;
3;"Amérique latine et Caraïbes";317;"Uruguay";"RAMAZZI";"Frédérique";"F";1977-02-12;"URUGUAY";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;;
3;"Amérique latine et Caraïbes";318;"Venezuela, Sainte-Lucie, Trinité-et-Tobago";"CHOSSERIE";"Liliane";"F";1951-12-02;"ALGÉRIE";22;"Commerçant et assimilé";2021-05-31;;
3;"Amérique latine et Caraïbes";318;"Venezuela, Sainte-Lucie, Trinité-et-Tobago";"FORTER-CHEE-A-TOW";"Ninon";"F";1996-04-12;"BARBADE";31;"Profession libérale";2021-11-22;;
3;"Amérique latine et Caraïbes";318;"Venezuela, Sainte-Lucie, Trinité-et-Tobago";"FREYCHET";"Stéphane";"M";1957-07-25;"FRANCE";52;"Employé civil et agent de service de la fonction publique";2022-12-05;"Président du conseil consulaire";2023-02-01
4;"Europe du Nord";401;"Danemark";"BADACHE";"Pascal";"M";1968-02-23;"PARIS 14E ARRONDISSEMENT";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;"Président du conseil consulaire";2021-06-22
4;"Europe du Nord";401;"Danemark";"CARON";"Marie-José";"F";1952-10-11;"CASTRES";54;"Employé administratif d'entreprise";2021-05-31;;
4;"Europe du Nord";401;"Danemark";"DE VISME";"Luc";"M";1945-07-04;"Rouillé";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
4;"Europe du Nord";402;"Finlande, Lituanie, Lettonie, Estonie";"BERNARD";"Chloé";"F";1982-01-24;"Troyes";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-15
4;"Europe du Nord";402;"Finlande, Lituanie, Lettonie, Estonie";"PLAGNOL";"Hugo";"M";1987-06-13;"Clamart";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;;
4;"Europe du Nord";402;"Finlande, Lituanie, Lettonie, Estonie";"RUA";"Philippe";"M";1959-11-26;"MONTREUIL";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-15
4;"Europe du Nord";403;"Irlande";"HELAILI-CHAPUIS";"Laurence";"F";1985-08-07;"Marseille";85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2021-05-31;"Président du conseil consulaire";2021-06-16
4;"Europe du Nord";403;"Irlande";"KHEMIRA ÉPOUSE AIT EL HADJ";"Saïda";"F";1975-12-01;"Sarcelles";85;"Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité)";2021-05-31;;
4;"Europe du Nord";403;"Irlande";"MARIN-CUDRAZ";"Benoit";"M";1956-11-17;"PARIS8";22;"Commerçant et assimilé";2021-05-31;;
4;"Europe du Nord";403;"Irlande";"NOUELLE-PARRAT";"Nicolas";"M";1974-06-04;"FRANCE";64;"Chauffeur";2023-03-02;;
4;"Europe du Nord";404;"Norvège, Islande";"BASSETTO";"Thomas";"M";1988-02-24;"Montauban";38;"Ingénieur et cadre technique d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-15
4;"Europe du Nord";404;"Norvège, Islande";"BLISSON";"Natacha";"F";1985-02-27;"Marseille";37;"Cadre administratif et commercial d'entreprise";2022-01-18;;
4;"Europe du Nord";404;"Norvège, Islande";"HERRERA";"Marion";"F";1973-04-07;"Nice";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;;
4;"Europe du Nord";405;"Royaume-Uni - 1re circonscription";"ALBUISSON";"Christian";"M";1958-07-30;"Aubenas";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-23
4;"Europe du Nord";405;"Royaume-Uni - 1re circonscription";"GUÉNIER";"Brigitte";"F";1955-12-16;"Caen";34;"Professeur, profession scientifique";2021-05-31;;
4;"Europe du Nord";405;"Royaume-Uni - 1re circonscription";"MILLER";"Véronique";"F";1967-01-21;"RUMILLY";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;;
4;"Europe du Nord";406;"Royaume-Uni - 2e circonscription";"AHMAR";"Samy";"M";1986-02-28;"LYON3";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
4;"Europe du Nord";406;"Royaume-Uni - 2e circonscription";"BERTIN";"Olivier";"M";1968-07-05;"Besançon";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
4;"Europe du Nord";406;"Royaume-Uni - 2e circonscription";"BLANCHOT";"Isabelle";"F";1970-02-22;"Châtenay-Malabry";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-28
4;"Europe du Nord";406;"Royaume-Uni - 2e circonscription";"CONNELL";"Patricia";"F";1961-02-01;"SAINT-DENIS";22;"Commerçant et assimilé";2021-05-31;;
4;"Europe du Nord";406;"Royaume-Uni - 2e circonscription";"HATTON";"Nicolas";"M";1970-03-02;"Angers";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
4;"Europe du Nord";406;"Royaume-Uni - 2e circonscription";"MAIGNE";"Enguerran";"M";1982-10-09;"Fougères";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;;
4;"Europe du Nord";406;"Royaume-Uni - 2e circonscription";"MALLET";"Amelie";"F";1972-08-23;"STOCKHOLM";31;"Profession libérale";2021-05-31;;
